Dataset,Target,Strategy,Train_F1,Train_MCC,Test_Acc,Test_F1,Test_MCC,Complexity,Weighted_Cplx,Formula
PC3,F1,SIMPLE,0.3434343434343434,0.2656570220893578,0.6113744075829384,0.3387096774193548,0.25800345528202595,1,1,x3
PC3,F1,SIMPLE,0.3699731903485255,0.27693988188460317,0.6919431279620853,0.32989690721649484,0.2212716123363211,2,5,log(x3)
PC3,F1,WEIGHTED,0.3434343434343434,0.2656570220893578,0.6113744075829384,0.3387096774193548,0.25800345528202595,1,1,x3
PC3,F1,WEIGHTED,0.3699731903485255,0.27693988188460317,0.6919431279620853,0.32989690721649484,0.2212716123363211,2,5,log(x3)
PC3,F1,WEIGHTED,0.3640897755610973,0.27433912552852635,0.6919431279620853,0.3925233644859813,0.3266902952862869,3,4,(x3 mul x4)
PC3,MCC,SIMPLE,0.3434343434343434,0.2656570220893578,0.6113744075829384,0.3387096774193548,0.25800345528202595,1,1,x3
PC3,MCC,SIMPLE,0.3699731903485255,0.27693988188460317,0.6919431279620853,0.32989690721649484,0.2212716123363211,2,5,log(x3)
PC3,MCC,SIMPLE,0.3770491803278688,0.2856575291543765,0.6966824644549763,0.3333333333333333,0.22582835870233897,8,16,(sqrt((x13 sub x0)) mul sqrt(log(x3)))
PC3,MCC,WEIGHTED,0.3434343434343434,0.2656570220893578,0.6113744075829384,0.3387096774193548,0.25800345528202595,1,1,x3
PC3,MCC,WEIGHTED,0.3699731903485255,0.27693988188460317,0.6919431279620853,0.32989690721649484,0.2212716123363211,2,5,log(x3)
PC3,MCC,WEIGHTED,0.3640897755610973,0.27433912552852635,0.6919431279620853,0.3925233644859813,0.3266902952862869,3,4,(x3 mul x4)
PC3,MCC,WEIGHTED,0.3448275862068966,0.2675389973529494,0.6161137440758294,0.34146341463414637,0.2617550669946533,3,3,(x3 sub x20)
PC3,MCC,WEIGHTED,0.4067796610169492,0.34324924554357505,0.7345971563981043,0.42857142857142855,0.3688281832372034,5,15,log(sqrt(log(sqrt(x0))))
PC3,MCC,WEIGHTED,0.37532133676092544,0.28832823954314807,0.7251184834123223,0.3958333333333333,0.31769812159345756,5,11,log(sqrt((x3 mul x4)))
PC4,F1,SIMPLE,0.4793103448275862,0.4487209342691843,0.6850393700787402,0.4520547945205479,0.4076967973205648,1,1,x3
PC4,F1,SIMPLE,0.5147679324894515,0.4596624563470234,0.7795275590551181,0.5087719298245614,0.44695477736481126,3,4,(x3 mul x26)
PC4,F1,SIMPLE,0.5213675213675214,0.46691051321493043,0.7834645669291339,0.5132743362831859,0.4519430502738999,5,7,(x3 mul (x5 mul x0))
PC4,F1,WEIGHTED,0.4793103448275862,0.4487209342691843,0.6850393700787402,0.4520547945205479,0.4076967973205648,1,1,x3
PC4,F1,WEIGHTED,0.5147679324894515,0.4596624563470234,0.7795275590551181,0.5087719298245614,0.44695477736481126,3,4,(x3 mul x27)
PC4,MCC,SIMPLE,0.4793103448275862,0.4487209342691843,0.6850393700787402,0.4520547945205479,0.4076967973205648,1,1,x3
PC4,MCC,SIMPLE,0.5147679324894515,0.4596624563470234,0.7795275590551181,0.5087719298245614,0.44695477736481126,3,4,(x3 mul x8)
PC4,MCC,WEIGHTED,0.4793103448275862,0.4487209342691843,0.6850393700787402,0.4520547945205479,0.4076967973205648,1,1,x3
PC4,MCC,WEIGHTED,0.5368421052631579,0.4620182346698871,0.7755905511811023,0.41237113402061853,0.3046424716625795,3,3,(x3 sub x13)
PC4,MCC,WEIGHTED,0.580110497237569,0.5129357233643155,0.8110236220472441,0.4666666666666667,0.37218857597290766,5,6,(x3 sub (x7 mul x12))
PC5,F1,SIMPLE,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x8
PC5,F1,SIMPLE,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x5
PC5,F1,SIMPLE,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x28
PC5,F1,SIMPLE,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x27
PC5,F1,SIMPLE,0.4943639291465378,0.2447083172222859,0.5693215339233039,0.5228758169934641,0.301440372304924,2,5,log(x16)
PC5,F1,SIMPLE,0.5303678357570573,0.3149402298909554,0.6017699115044248,0.5392491467576792,0.33015826788041985,3,4,(x8 mul x2)
PC5,F1,SIMPLE,0.5303678357570573,0.3149402298909554,0.6017699115044248,0.5392491467576792,0.33015826788041985,3,4,(x5 mul x2)
PC5,F1,SIMPLE,0.5503875968992248,0.3461232559807938,0.640117994100295,0.5234375,0.2985771094968231,6,17,log(log(log((x24 div x5))))
PC5,F1,WEIGHTED,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x8
PC5,F1,WEIGHTED,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x5
PC5,F1,WEIGHTED,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x27
PC5,F1,WEIGHTED,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x28
PC5,F1,WEIGHTED,0.5027152831652444,0.26638372210307903,0.5722713864306784,0.5276872964169381,0.31198391581568113,3,4,(x16 mul x0)
PC5,F1,WEIGHTED,0.49028400597907323,0.2415981771949094,0.504424778761062,0.5029585798816568,0.27117386329999504,3,3,(x5 sub x28)
PC5,F1,WEIGHTED,0.5303678357570573,0.3149402298909554,0.6017699115044248,0.5392491467576792,0.33015826788041985,4,7,sqrt((x2 mul x5))
PC5,F1,WEIGHTED,0.5303678357570573,0.3149402298909554,0.6017699115044248,0.5392491467576792,0.33015826788041985,4,7,sqrt((x2 mul x8))
PC5,F1,WEIGHTED,0.5503875968992248,0.3461232559807938,0.640117994100295,0.5234375,0.2985771094968231,7,20,log(sqrt(log(log((x24 div x5)))))
PC5,MCC,SIMPLE,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x8
PC5,MCC,SIMPLE,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x28
PC5,MCC,SIMPLE,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x5
PC5,MCC,SIMPLE,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x27
PC5,MCC,SIMPLE,0.49517684887459806,0.2465414264178084,0.551622418879056,0.5096774193548387,0.2746812192161083,2,5,log(x0)
PC5,MCC,SIMPLE,0.5303678357570573,0.3149402298909554,0.6017699115044248,0.5392491467576792,0.33015826788041985,3,4,(x5 mul x2)
PC5,MCC,SIMPLE,0.5303678357570573,0.3149402298909554,0.6017699115044248,0.5392491467576792,0.33015826788041985,3,4,(x8 mul x2)
PC5,MCC,WEIGHTED,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x8
PC5,MCC,WEIGHTED,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x5
PC5,MCC,WEIGHTED,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x28
PC5,MCC,WEIGHTED,0.48994787788533134,0.24126855424826618,0.5014749262536873,0.5014749262536873,0.26804259813413134,1,1,x27
PC5,MCC,WEIGHTED,0.5303678357570573,0.3149402298909554,0.6017699115044248,0.5392491467576792,0.33015826788041985,3,4,(x8 mul x2)
PC5,MCC,WEIGHTED,0.42990654205607476,0.26185639293673224,0.7168141592920354,0.4146341463414634,0.2345357427836265,3,3,(x27 sub 8.065)
PC5,MCC,WEIGHTED,0.5503875968992248,0.3461232559807938,0.640117994100295,0.5234375,0.2985771094968231,6,17,log(log(log((x24 div x5))))
